Station Map ID,USGS Station Name,USGS Station Number,Date,Time,Sample Type,"Aluminum, (weight percent)","Arsenic, (micrograms/g)","Boron, (micrograms/g)","Barium, (micrograms/g)","Beryllium, (micrograms/g)","Bismuth, (micrograms/g)","Calcium, (weight percent)","Cadmium, (micrograms/g)","Cerium, (micrograms/g)","Cobalt, (micrograms/g)","Chromium, (micrograms/g)","Cesium, (micrograms/g)","Copper, (micrograms/g)","Dysprosium, (micrograms/g)","Erbium, (micrograms/g)","Europium, (micrograms/g)","Iron, (weight percent)","Gadolinium, (micrograms/g)","Holmium, (micrograms/g)","Potassium, (weight percent)","Lanthanum, (micrograms/g)","Lithium, (micrograms/g)","Lutetium, (micrograms/g)","Magnesium, (weight percent)","Manganese, (micrograms/g)","Molybdenum, (micrograms/g)","Sodium, (weight percent)","Neodymium, (micrograms/g)","Nickel, (micrograms/g)","Phosphorus, (micrograms/g)","Lead, (micrograms/g)","Praesodymium, (micrograms/g)","Rubidium, (micrograms/g)","Rhenium, (micrograms/g)","Sulfur, (weight percent)","Antimony, (micrograms/g)","Scandium, (micrograms/g)","Selenium, (micrograms/g)","Samarium, (micrograms/g)","Strontium, (micrograms/g)","Terbium, (micrograms/g)","Tellurium, (micrograms/g)","Thorium, (micrograms/g)","Titanium, (weight percent)","Thallium, (micrograms/g)","Thulium, (micrograms/g)","Uranium, (micrograms/g)","Vanadium, (micrograms/g)","Yttrium, (micrograms/g)","Ytterbium, (micrograms/g)","Zinc, (micrograms/g)","Zirconium, (micrograms/g)"
SY-14,ANCHO ERIE DRAINAGE A TAILINGS DAM NR WASHINGTON,3.92512E+14,7/31/2002,14:00,Environmental,2.1,560,0.143,210,2.3,3.1,0.05,0.24,19.1,14.1,82,2.6,83.7,0.62,0.33,0.27,9.6,0.92,0.11,1.99,8.6,18.4,0.07,0.14,450,3.1,0.31,8.8,34.3,580,1000,2.3,17,< 0.003 ,0.363,2.2,3.5,5.3,1.5,22,0.13,26,2.1,0.56,0.73,0.05,1.9,110,1.8,0.4,100,140
SY-15,ANCHO ERIE DRAINAGE A POORMAN C NR WASHINGTON CA,3.92512E+14,7/31/2002,12:00,Environmental,2.6,53,0.158,250,2,1.7,0.27,0.75,44.8,24.1,64,2.3,110,1.1,0.51,0.55,4.3,2,0.18,1.73,20.7,16.3,0.11,0.24,840,1.4,0.31,18.4,39.6,700,610,5,22.9,< 0.003 ,0.084,1.3,5.3,2.5,3.1,31,0.25,1.4,4.2,0.43,0.5,0.09,12,75,4.4,0.7,220,120
SY-16,POORMAN C BL ANCHO ERIE MINE DRAIN NR WASHINGTON,3.92513E+14,7/31/2002,11:40,Environmental,3.3,10,0.177,250,1.8,0.7,0.44,0.39,22,12.2,45,1.4,53.9,1.2,0.78,0.34,3.7,1.3,0.23,1.09,9.9,14.9,0.16,0.23,370,0.7,0.69,9.6,22.2,560,180,2.5,9,< 0.003 ,0.088,0.65,7.1,1.3,1.9,45,0.2,0.71,2.6,0.44,0.31,0.13,5.1,100,5.9,1,120,130
SY-16,POORMAN C BL ANCHO ERIE MINE DRAIN NR WASHINGTON,3.92513E+14,7/31/2002,11:41,Field Replicate,3.2,10,0.068,280,1.9,0.68,0.44,0.48,21.4,12.5,45,1.4,51.4,1.2,0.78,0.35,3.8,1.3,0.24,1.09,9.6,15.6,0.16,0.26,390,2,0.72,9.3,22,570,180,2.5,8.5,< 0.003 ,0.089,0.69,6.7,< 0.8 ,1.8,46,0.2,0.66,2.7,0.46,0.45,0.13,5.1,100,5.8,1,120,130
SY-33,LITTLE ROCK C .05 MI BL BLUE TENT RD NR NEVADA CITY CA,3.91726E+14,7/9/2003,15:30,Environmental,4.4,204,0.108,293,1.2,0.12,0.17,1.69,10.1,17,67,2.2,64.9,0.7,0.44,0.22,5.8,0.7,0.14,0.92,4.5,22.6,0.08,0.12,1409,6.1,0.25,4.4,27.4,ND,33.9,1.2,19.5,0.002,0.027,1.4,ND,< 0.6 ,0.8,28,0.12,0.15,2,0.51,0.35,0.07,2.4,167,3.4,0.5,115,73
SY-34,LITTLE ROCK C .1 MI BL BLUE TENT RD NR NEVADA CITY CA,3.91727E+14,7/9/2003,15:00,Environmental,3.8,248,0.109,312,1.2,0.11,0.15,1.52,12.4,11.1,55,17.1,56.3,0.6,0.45,0.2,5.1,0.57,0.15,1.82,4.1,29,0.07,0.2,672,8.5,0.34,3.9,23.2,ND,40.2,1,31.2,0.009,0.032,2,ND,< 0.8 ,0.8,28,0.1,0.22,1.5,0.48,0.36,0.07,2.7,169,3,0.4,97,61
SY-35,LITTLE ROCK C .2 MI BL BLUE TENT RD NR NEVADA CITY CA,3.91728E+14,7/9/2003,14:30,Environmental,1.1,16,0.144,121,1.4,0.14,0.05,0.08,1,19.6,89,0.4,62.4,0.1,0.08,0.03,6.3,0.1,0.03,0.32,0.4,19.4,0.01,0.02,301,3.6,0.24,0.5,43.1,ND,18.1,0.1,2.1,< 0.002 ,< 0.018 ,0.76,ND,< 0.7 ,0.1,4.8,0.02,0.08,0.4,0.66,0.35,0.01,2.4,202,0.5,0.1,97,115
SY-36,LITTLE ROCK C .9 MI BL BLUE TENT RD NR NEVADA CITY CA,3.91742E+14,7/12/2003,10:40,Environmental,1.5,124,0.04,196,1.1,0.08,0.16,2.44,1.5,12.9,45,0.7,41.7,0.2,0.11,0.05,5.9,0.16,0.04,0.92,0.4,21.7,0.02,0.02,705,4.6,0.31,0.6,22.4,ND,30,0.1,4,0.002,0.066,1.1,ND,< 1.1 ,0.1,11,0.02,0.14,0.7,0.42,0.32,0.02,4,157,0.6,0.1,97,57
SY-37,LITTLE ROCK C AB ROCK C NR NEVADA CITY CA,3.91759E+14,7/12/2003,14:30,Environmental,2,111,0.042,189,1.1,0.1,0.17,3.09,1.8,12.7,47,0.7,46.2,0.3,0.17,0.07,5.9,0.23,0.05,0.89,0.7,26.6,0.03,0.03,585,3.6,0.24,0.8,23.1,ND,32,0.2,4.3,< 0.002 ,0.067,1.2,ND,< 1.1 ,0.2,11,0.04,0.25,0.7,0.43,0.33,0.03,2.7,169,1,0.2,94,52
SY-38,ROCK C AB LITTLE ROCK C NR NEVADA CITY CA,3.91756E+14,7/12/2003,14:00,Environmental,4.1,10,0.109,261,1.4,0.17,0.19,0.25,12.4,16.8,54,1.7,36.9,0.8,0.44,0.25,4,0.74,0.15,0.5,5.9,18.3,0.07,0.11,480,2,0.19,5.3,37,ND,22.3,1.4,12.5,< 0.002 ,0.032,1.3,ND,< 0.8 ,1,31,0.12,< 0.06 ,2.5,0.56,0.32,0.06,3.6,134,3.7,0.5,73,102
SY-39,ROCK C A ROCK C RD NR NEVADA CITY CA,3.9181E+14,7/10/2003,12:40,Environmental,2.4,18,0.06,213,1.1,0.14,0.19,0.52,2.1,17.1,85,0.5,39.7,0.2,0.14,0.06,5.4,0.21,0.05,0.48,0.6,20,0.02,0.02,487,2.6,0.29,0.8,44.1,ND,19.6,0.2,2.5,< 0.002 ,0.08,1,ND,< 1.2 ,0.2,18,0.04,< 0.08 ,0.7,0.61,0.26,0.02,3.1,178,0.6,0.2,89,119
SY-40,LAKE VERA ROCK C ARM NR NEVADA CITY CA,3.91803E+14,7/9/2003,13:00,Environmental,2.8,14,0.05,197,1.5,0.17,0.19,0.33,5.3,17.6,75,0.9,49.7,0.4,0.22,0.12,5.8,0.35,0.07,0.4,2.3,19.4,0.04,0.08,562,2.3,0.3,2.2,39.7,ND,21.5,0.6,6.4,< 0.003 ,0.034,1.3,ND,< 1.3 ,0.4,22,0.06,< 0.09 ,1.1,0.61,0.39,0.03,2.8,180,1.6,0.3,95,113
SY-41,LAKE VERA IN THALWEG NR DAM NR NEVADA CITY CA,3.91807E+14,7/9/2003,14:00,Environmental,3.6,4,0.08,154,1.2,0.06,0.03,0.06,1.3,7.8,25,0.4,42.2,0.1,0.05,0.03,4.9,0.08,0.02,0.54,0.6,15.1,0.01,0.06,195,2.1,0.22,0.5,13.3,ND,7.2,0.1,5.1,< 0.002 ,< 0.020 ,0.59,ND,< 0.8 ,0.1,6.9,0.01,< 0.06 ,0.4,0.38,0.28,0.01,2.1,148,0.4,0.1,32,31
