Table No.,Table Name,Table Column,Column heading,Column description,Extended Description 
2,T2_Study_Sites,A,Station Map ID,Map reference identification number ,
2,T2_Study_Sites,B,USGS Station Name,U.S. Geological Survey station name,
2,T2_Study_Sites,C,USGS Station Number,U.S. Geological Survey station number,
2,T2_Study_Sites,D,Latitude,Station latitude referenced to the North American Datum of 1983,
2,T2_Study_Sites,E,Longitude,Station longitude referenced to the North American Datum of 1983,
3,T3_Water_Mercury,A,Station Map ID,Map reference identification number ,
3,T3_Water_Mercury,B,USGS Station Name,U.S. Geological Survey station name,
3,T3_Water_Mercury,C,USGS Station Number,U.S. Geological Survey station number,
3,T3_Water_Mercury,D,Date,Date sample was collected,
3,T3_Water_Mercury,E,Time,Time sample was collected,
3,T3_Water_Mercury,F,Sample Type,Type of sample that was analyzed,Environmental Disturbed samples were collected at a site where the stream bottom sediments were disturbed at the time of collection or where there was visible mercury present
3,T3_Water_Mercury,G,Data References,Reference for publications containing the data,"NP, data have not been previously published"
3,T3_Water_Mercury,H,"Mercury, Unfiltered (ng/L)",Mercury concentration in nanograms per liter in an unfiltered water sample,"Values with an ""E"" qualifier are estimates and should be interpreted with caution; 0, not determined"
3,T3_Water_Mercury,I,"Mercury, Unfiltered Data Source",Data source code for laboratory which analyzed the samples and number of samples analyzed ,"0, not determined; C, USGS laboratory in Boulder, Colorado; F, Frontier Geosciences, Inc., Seattle, Washington; N, USGS National Research Program Laboratory Menlo Park, California; W, USGS laboratory in Middleton, Wisconsin; Q, concentration in table represents quartz fiber filter plus filtrate. Second character: 1, single split analyzed; 2,  two replicate samples analyzed - concentration in table represents average of replicate analyses"
3,T3_Water_Mercury,J,"Mercury, Filtered (ng/L)",Mercury concentration in nanograms per liter in a filtered water sample,"Values with an ""E"" qualifier are estimates and should be interpreted with caution; 0, not determined"
3,T3_Water_Mercury,K,"Mercury, Filtered Data Source",Data source code for laboratory which analyzed the samples and number of samples analyzed ,"0, not determined; C, USGS laboratory in Boulder, Colorado; F, Frontier Geosciences, Inc., Seattle, Washington; N, USGS National Research Program Laboratory Menlo Park, California; W, USGS laboratory in Middleton, Wisconsin; Second character: 1, single split analyzed; 2,  two replicate samples analyzed - concentration in table represents average of replicate analyses"
3,T3_Water_Mercury,L,"Methylmercury, Unfiltered (ng/L)",Methylmercury concentration in nanograms per liter in an unfiltered water sample,"Values with an ""E"" qualifier are estimates and should be interpreted with caution; 0, not determined"
3,T3_Water_Mercury,M,"Methylmercury, Unfiltered Data Source",Data source code for laboratory which analyzed the samples and number of samples analyzed ,"0, not determined; C, USGS laboratory in Boulder, Colorado; F, Frontier Geosciences, Inc., Seattle, Washington; N, USGS National Research Program Laboratory Menlo Park, California; W, USGS laboratory in Middleton, Wisconsin; Second character: 1, single split analyzed; 2,  two replicate samples analyzed - concentration in table represents average of replicate analyses"
3,T3_Water_Mercury,N,"Methylmercury, Filtered (ng/L)",Methylmercury concentration in nanograms per liter in a filtered water sample,"Values with an ""E"" qualifier are estimates and should be interpreted with caution; 0, not determined"
3,T3_Water_Mercury,O,"Methylmercury, Filtered Data Source",Data source code for laboratory which analyzed the samples and number of samples analyzed ,"0, not determined; C, USGS laboratory in Boulder, Colorado; F, Frontier Geosciences, Inc., Seattle, Washington; N, USGS National Research Program Laboratory Menlo Park, California; W, USGS laboratory in Middleton, Wisconsin; Second character: 1, single split analyzed; 2,  two replicate samples analyzed - concentration in table represents average of replicate analyses"
4,T4_Sediment_Mercury,A,Station Map ID,Map reference identification number ,
4,T4_Sediment_Mercury,B,USGS Station Name,U.S. Geological Survey station name,
4,T4_Sediment_Mercury,C,USGS Station Number,U.S. Geological Survey station number,
4,T4_Sediment_Mercury,D,Date,Date sample was collected,
4,T4_Sediment_Mercury,E,Time,Time sample was collected,
4,T4_Sediment_Mercury,F,Sample Type,Type of sample that was analyzed,
4,T4_Sediment_Mercury,G,Data References,Reference for publications containing the data,"NP, data have not been previously published"
4,T4_Sediment_Mercury,H,"Total Mercury, Dry (ng/g)",Total mercury concentration in nanograms per gram of dry sediment,"Values with an ""E"" qualifier are estimates and should be interpreted with caution; 0, not determined"
4,T4_Sediment_Mercury,I,Total Mercury Data Source,Data source code for laboratory which analyzed the samples and number of samples analyzed ,"0, not determined; C, USGS laboratory in Boulder, Colorado; F, Frontier Geosciences, Inc., Seattle, Washington; N, USGS National Research Program Laboratory Menlo Park, California; W, USGS laboratory in Middleton, Wisconsin; Second character: 1, single split analyzed"
4,T4_Sediment_Mercury,J,"Methylmercury, Dry (ng/g)",Methylmercury concentration in nanograms per gram of dry sediment,"Values with an ""E"" qualifier are estimates and should be interpreted with caution; 0, not determined"
4,T4_Sediment_Mercury,K,Methylmercury Data Source,Data source code for laboratory which analyzed the samples and number of samples analyzed ,"0, not determined; C, USGS laboratory in Boulder, Colorado; F, Frontier Geosciences, Inc., Seattle, Washington; N, USGS National Research Program Laboratory Menlo Park, California; W, USGS laboratory in Middleton, Wisconsin; Second character: 1, single split analyzed"
4,T4_Sediment_Mercury,L,Loss On Ignition (percent),Sample mass percentage lost through heating,"0, not determined"
5,T5_Invertebrates_Mercury,A,Station Map ID,Map reference identification number ,
5,T5_Invertebrates_Mercury,B,USGS Station Name,U.S. Geological Survey station name,
5,T5_Invertebrates_Mercury,C,USGS Station Number,U.S. Geological Survey station number,
5,T5_Invertebrates_Mercury,D,Date,Date sample was collected,
5,T5_Invertebrates_Mercury,E,Sample Type,Type of sample that was analyzed,
5,T5_Invertebrates_Mercury,F,Data References,Reference for publications containing the data,"NP, data have not been previously published"
5,T5_Invertebrates_Mercury,G,Common name,Invertebrate common name,
5,T5_Invertebrates_Mercury,H,Order ,Phylogenetic order for the invertebrate ,
5,T5_Invertebrates_Mercury,I,Family,Phylogenetic family for the invertebrate ,
5,T5_Invertebrates_Mercury,J,Sample Size,Number of organisms in the sample,
5,T5_Invertebrates_Mercury,K,Total Sample Weight (g),Total weight of the sample in grams,
5,T5_Invertebrates_Mercury,L,Moisture (percent),Sample moisture in percent,
5,T5_Invertebrates_Mercury,M,"Total mercury, Wet (micrograms/g)",Total mercury concentration in micrograms per gram for undried sample,"0, not determined"
5,T5_Invertebrates_Mercury,N,"Methylmercury, Wet (micrograms/g)",Methylmercury concentration in micrograms per gram for undried sample,
5,T5_Invertebrates_Mercury,O,MeHg/THg (percent),Ratio of methylmercury to total mercury concentrations in percent,"0, not determined"
5,T5_Invertebrates_Mercury,P,Age,Age classification of the sample ,"This is an approximate classification into either ""adult"" or ""immature"". 0, not determined"
6,T6_Frogs_Mercury,A,Station Map ID,Map reference identification number ,
6,T6_Frogs_Mercury,B,USGS Station Name,U.S. Geological Survey station name,
6,T6_Frogs_Mercury,C,USGS Station Number,U.S. Geological Survey station number,
6,T6_Frogs_Mercury,D,Date,Date sample was collected,
6,T6_Frogs_Mercury,E,Sample Type,Type of sample that was analyzed,
6,T6_Frogs_Mercury,F,Data References,Reference for publications containing the data,"NP, data have not been previously published"
6,T6_Frogs_Mercury,G,Common Name,Invertebrate common name,
6,T6_Frogs_Mercury,H,Genus and Species,Genus and species of the sample,
6,T6_Frogs_Mercury,I,Sample Size,Number of organisms in the sample,
6,T6_Frogs_Mercury,J,Live Weight (g),Weight of the sample at collection in grams,"0, not determined"
6,T6_Frogs_Mercury,K,Sample Weight (g),Sample weight in grams,"0, not determined"
6,T6_Frogs_Mercury,L,Total Length (mm),Total length of the sample in milimeters,"0, not determined"
6,T6_Frogs_Mercury,M,Moisture (percent),Sample moisture in percent,
