Station Map ID,USGS Station Name,USGS Station Number,Date,Time,Sample Type,Data References,"Mercury, Unfiltered (ng/L)","Mercury, Unfiltered Data Source","Mercury, Filtered (ng/L)","Mercury, Filtered Data Source","Methylmercury, Unfiltered (ng/L)","Methylmercury, Unfiltered Data Source","Methylmercury, Filtered (ng/L)","Methylmercury, Filtered Data Source"
AR-03,GOLD RUN TUNNEL OUTLET  NR COLFAX CA,3.90945E+14,2/21/2001,10:30,Environmental,NP,22.3,C2,1.1,C2,<0.04,W1,<0.04,W1
AR-03,GOLD RUN TUNNEL OUTLET  NR COLFAX CA,3.90945E+14,11-06-02,13:00,Environmental,NP,58.5,C2,11,C2,<0.04,W1,<0.04,W1
AR-05,GOLD RUN MINE POND NR INDIANA RAVINE NR GOLD RUN,3.90932E+14,2/21/2001,12:30,Environmental,NP,1.8,C2,0.9,C2,<0.04,W1,<0.04,W1
AR-06,KEYSTONE MINE TUNNEL OUTLET NR FORRESTHILLS CA,3.90305E+14,11-06-02,17:00,Environmental,NP,2.9,C2,E<0.3,C2,<0.04,W1,<0.04,W1
AR-07,GLEESON DIGGINS MAIN SLUICE CUT NR IOWA HILL CA,3.90455E+14,02-07-02,15:00,Environmental,NP,22.2,C2,1.4,C2,0.16,W1,E0.04,W1
AR-09,JUPITER MINE TUNNEL MIDWAY A SLUICE CUT,3.90629E+14,02-07-02,13:00,Environmental,NP,36.5,C2,8.4,C2,<0.04,W1,<0.04,W1
AR-10,AMERICAN R A FAIR OAKS CA,11446500,6/23/2003,11:30,Environmental,NP,E0.9,W1,E0.5,W1,<0.04,W1,<0.04,W1
AR-10,AMERICAN R A FAIR OAKS CA,11446500,6/23/2003,14:20,Environmental,NP,1.4,W1,E0.7,W1,<0.04,W1,0.05,W1
AR-11,ALDER C POND A HWY 50 A NIMBUS CA,3.83809E+14,6/18/2003,16:40,Environmental,NP,3.9,W1,1.8,W1,0.25,W1,0.16,W1
AR-11,ALDER C POND A HWY 50 A NIMBUS CA,3.83809E+14,6/18/2003,17:50,Environmental,NP,4.4,W1,1.9,W1,0.63,W1,0.1,W1
AR-12,ALDER C A PRAIRIE CITY RD NR FOLSOM CA,3.83824E+14,6/19/2003,14:20,Environmental,NP,2.8,W1,2,W1,0.62,W1,0.53,W1
AR-13,ALDER C A FOLSOM BLVD NR NIMBUS CA,3.83816E+14,6/19/2003,9:40,Environmental,NP,2.9,W1,2,W1,0.19,W1,0.19,W1
AR-14,UNNAMED TRIB TO ALDER C NR FOLSOM CA,3.83834E+14,6/20/2003,12:10,Environmental,NP,1.3,W1,E0.9,W1,0.08,W1,0.11,W1
AR-15,WILLOW C .1 MI US LK NATOMA NR FOLSOM CA,3.83859E+14,6/19/2003,11:50,Environmental,NP,3.3,W1,1.5,W1,0.19,W1,0.17,W1
AR-16,WILLOW C A E BIDWELL ST NR FOLSOM CA,3.84006E+14,6/20/2003,10:10,Environmental,NP,2.1,W1,1.9,W1,0.76,W1,0.56,W1
AR-17,WILLOW C A GOLF LINKS DRIVE NR FOLSOM CA,3.8403E+14,6/20/2003,15:10,Environmental,NP,E0.9,W1,E0.7,W1,0.1,W1,0.1,W1
AR-18,WILLOW C A LK NATOMA NR FOLSOM CA,3.83859E+14,6/18/2003,12:30,Environmental,NP,1.8,W1,E0.8,W1,0.05,W1,0.04,W1
AR-18,WILLOW C A LK NATOMA NR FOLSOM CA,3.83859E+14,6/18/2003,13:10,Environmental,NP,1.8,W1,E0.9,W1,0.1,W1,0.06,W1
AR-19,WILLOW C A SIBLEY RD NR FOLSOM CA,3.83927E+14,6/19/2003,16:00,Environmental,NP,3.2,W1,1.7,W1,0.16,W1,0.11,W1
AR-20,HUMBUG C A E BIDWELL ST NR FOLSOM CA,3.8401E+14,6/20/2003,8:50,Environmental,NP,2.9,W1,1,W1,0.12,W1,0.07,W1
BR-03,BEAR R BL DUTCH FLAT AFTERBAY NR DUTCH FLAT CA,11421790,9/30/1999,13:00,Environmental,NP,51.2,C2,3.6,C2,<0.025,W1,ND,ND
BR-03,BEAR R BL DUTCH FLAT AFTERBAY NR DUTCH FLAT CA,11421790,10-01-99,17:50,Environmental,NP,5.7,C2,2,C2,0.11,W1,ND,ND
BR-04,BEAR R AB GRVL PLNT AB STEEPHOLLOW C CHICAGO PARK,3.91038E+14,1/26/2000,11:50,Environmental,NP,15.4,C2,6.4,C2,0.05,W1,ND,ND
BR-10,BOSTON MINE TUNNEL OUTLET NR GRASS VALLEY CA,3.91346E+14,6/18/1999,14:30,Environmental,https://doi.org/10.3133/sir20045251,10,C2,3.1,C2,0.09,W1,ND,ND
BR-10,BOSTON MINE TUNNEL OUTLET NR GRASS VALLEY CA,3.91346E+14,12/14/1999,12:00,Environmental,https://doi.org/10.3133/sir20045251,104,C2,5.3,C2,<.04,W1,ND,ND
BR-10,BOSTON MINE TUNNEL OUTLET NR GRASS VALLEY CA,3.91346E+14,5/24/2000,16:00,Environmental,https://doi.org/10.3133/sir20045251,10.1,C2,ND,ND,0.13,W1,ND,ND
BR-10,BOSTON MINE TUNNEL OUTLET NR GRASS VALLEY CA,3.91346E+14,12/21/2001,12:10,Environmental,https://doi.org/10.3133/sir20045251,17.2,C2,2,C2,0.1,W1,0.04,W1
BR-10,BOSTON MINE TUNNEL OUTLET NR GRASS VALLEY CA,3.91346E+14,2/21/2002,15:10,Environmental,NP,395,C2,15.4,C2,0.28,W1,0.18,W1
BR-10,BOSTON MINE TUNNEL OUTLET NR GRASS VALLEY CA,3.91346E+14,12-04-02,11:10,Environmental,NP,102,"C2,W1",48.6,"C2,W1",<0.04,W1,<0.04,W1
BR-16,BOSTON MINE WETLANDS POND NR GRASS VALLEY CA,3.91343E+14,12/14/1999,10:30,Environmental,https://doi.org/10.3133/sir20045251,129,C2,2.5,C2,0.04,W1,ND,ND
BR-16,BOSTON MINE WETLANDS POND NR GRASS VALLEY CA,3.91343E+14,5/24/2000,16:30,Environmental,https://doi.org/10.3133/sir20045251,2.1,C2,ND,ND,0.63,W1,ND,ND
BR-18,BOSTON MINE TUNNEL INFLOW A BULKHEAD NR GOLD RUN,3.91346E+14,12-04-02,13:30,Environmental,NP,4.4,"C2,W1",1.1,"C2,W1",<0.04,W1,<0.04,W1
