Station Map ID,USGS Station Name,USGS Station Number,Date ,Time,Sample Type,Data References,"Total Mercury, Dry (ng/g)",Total Mercury Data Source,"Methylmercury, Dry (ng/g)",Methylmercury Data Source,Loss On Ignition (percent)
AR-03,GOLD RUN TUNNEL OUTLET  NR COLFAX CA,390945120562001,11/06/2002,13:30,Environmental,NP,"2,450",W1,<0.08,W1,1.58
AR-03,GOLD RUN TUNNEL OUTLET  NR COLFAX CA,390945120562001,11/06/2002,13:30,Environmental,NP,"15,240",C1,0,0,0
AR-03,GOLD RUN TUNNEL OUTLET  NR COLFAX CA,390945120562001,11/06/2002,13:31,Field Replicate,NP,"15,200",C1,0,0,0
AR-03,GOLD RUN TUNNEL OUTLET  NR COLFAX CA,390945120562001,11/06/2002,13:32,Field Replicate,NP,"17,000",C1,0,0,0
AR-06,KEYSTONE MINE TUNNEL OUTLET NR FORRESTHILLS CA,390305120500301,11/06/2002,17:05,Environmental,NP,187,W1,<0.08,W1,4.03
AR-06,KEYSTONE MINE TUNNEL OUTLET NR FORRESTHILLS CA,390305120500301,11/06/2002,17:05,Environmental,NP,812,C1,0,0,0
AR-07,GLEESON DIGGINGS MAIN SLUICE CUT NR IOWA HILL CA,390455120510601,02/07/2002,15:00,Environmental,NP,895,W1,0.35,W1,10.4
AR-09,JUPITER MINE TUNNEL MIDWAY A SLUICE CUT,390629120515001,02/07/2002,13:00,Environmental,NP,"3,810",W1,0.08,W1,9.91
AR-11,ALDER C POND A HWY 50 A NIMBUS CA,383809121121601,06/24/2003,14:00,Environmental,NP,485,W1,2.56,W1,19.9
AR-12,ALDER C A PRAIRIE CITY RD NR FOLSOM CA,383824121091601,06/25/2003,12:45,Environmental,NP,80.7,W1,0.47,W1,3.81
AR-13,ALDER C A FOLSOM BLVD NR NIMBUS CA,383816121115001,06/24/2003,13:30,Environmental,NP,158,W1,1.15,W1,4.81
AR-14,UNNAMED TRIB TO ALDER C NR FOLSOM CA,383834121083801,06/25/2003,15:00,Environmental,NP,128,W1,1.53,W1,4.80
AR-15,WILLOW C .1 MI US LK NATOMA NR FOLSOM CA,383859121110701,06/24/2003,10:15,Environmental,NP,456,W1,2.45,W1,11.6
AR-16,WILLOW C A E BIDWELL ST NR FOLSOM CA,384006121084601,06/25/2003,9:30,Environmental,NP,13.7,W1,0.50,W1,2.33
AR-17,WILLOW C A GOLF LINKS DRIVE NR FOLSOM CA,384030121063601,06/25/2003,15:30,Environmental,NP,49.3,W1,0.63,W1,4.08
AR-18,WILLOW C A LK NATOMA NR FOLSOM CA,383859121112601,06/24/2003,11:10,Environmental,NP,443,W1,5.20,W1,10.6
AR-19,WILLOW C A SIBLEY RD NR FOLSOM CA,383927121100201,06/25/2003,12:40,Environmental,NP,211,W1,7.91,W1,13.9
AR-20,HUMBUG C A E BIDWELL ST NR FOLSOM CA,384010121090601,06/25/2003,10:00,Environmental,NP,211,W1,10.2,W1,16.9
BR-04,BEAR R AB GRVL PLNT AB STEEPHOLLOW C CHICAGO PARK,391038120532501,01/26/2000,11:50,Environmental,NP,441,W1,0.17,W1,3.06
BR-06,BEAR R BL WOLF C NR LUCAS HILL CA,390107121102101,08/17/2000,13:15,Environmental,NP,548,W1,16.2,W1,14.4
