Station Map ID,USGS Station Name,USGS Station Number,Date,Sample Type,Data References,Common name,Order ,Family,Sample Size,Total Sample Weight (g),Moisture (percent),"Total mercury, Wet (micrograms/g)","Methylmercury, Wet (micrograms/g)",MeHg/THg (percent),Age
AR-01,CANYON C BL GOLD RUN TUNNEL OUTLET NR GOLD RUN CA,3.90945E+14,6/27/2002,Environmental,NP,Spiketail Dragonflies,Odonata,Cordulegastridae,2,1.14,75.6,0.057,0.0788,137.4,Immature
AR-01,CANYON C BL GOLD RUN TUNNEL OUTLET NR GOLD RUN CA,3.90945E+14,6/27/2002,Environmental,NP,Predaceous stonefly,Plecoptera,Perlidae,5,0.73,77.1,0.057,0.0543,94.8,Immature
AR-01,CANYON C BL GOLD RUN TUNNEL OUTLET NR GOLD RUN CA,3.90945E+14,6/27/2002,Environmental,NP,Water striders,Hemiptera,Gerridae,25,1.87,62.6,0.109,0.0875,80.4,Adult
AR-02,CANYON C AB GOLD RUN TUNNEL OUTLET NR GOLD RUN CA,3.90945E+14,6/27/2002,Environmental,NP,Dobsonflies,Megaloptera,Corydalidae,3,1.94,73.5,0.07,0.044,63.1,Immature
AR-02,CANYON C AB GOLD RUN TUNNEL OUTLET NR GOLD RUN CA,3.90945E+14,6/27/2002,Environmental,NP,Darner Dragonflies,Odonata,Aeshnidae,1,0.56,83.5,0.04,0.0408,101.6,Immature
AR-02,CANYON C AB GOLD RUN TUNNEL OUTLET NR GOLD RUN CA,3.90945E+14,6/27/2002,Environmental,NP,Spiketail Dragonflies,Odonata,Cordulegastridae,3,1.57,82.8,0.036,0.0404,113.5,Immature
AR-02,CANYON C AB GOLD RUN TUNNEL OUTLET NR GOLD RUN CA,3.90945E+14,6/27/2002,Environmental,NP,Clubtail Dragonflies,Odonata,Gomphidae,9,1.25,73.8,0.081,0.0603,74,Immature
AR-02,CANYON C AB GOLD RUN TUNNEL OUTLET NR GOLD RUN CA,3.90945E+14,6/27/2002,Environmental,NP,Predaceous stonefly,Plecoptera,Perlidae,7,1.13,69.8,0.077,0.058,75.3,Immature
AR-02,CANYON C AB GOLD RUN TUNNEL OUTLET NR GOLD RUN CA,3.90945E+14,6/27/2002,Environmental,NP,Water striders,Hemiptera,Gerridae,25,1.78,61.7,0.072,0.0858,119.8,Adult
AR-02,CANYON C AB GOLD RUN TUNNEL OUTLET NR GOLD RUN CA,3.90945E+14,6/27/2002,Environmental,NP,Water striders,Hemiptera,Gerridae,25,1.86,60.2,0.06,0.0537,88.8,Adult
