Station Map ID,USGS Station Name,USGS Station Number,Date,Sample Type,Data References,Common Name,Genus and Species,Sample Size,Live Weight (g),Sample Weight (g),Total Length (mm),Moisture (percent),"Total Mercury, Wet (micrograms/g)",Age ,Gender
BR-60,SF GREENHORN C .8 MI AB GREENHORN C NR NEVADA CITY,3.91405E+14,9/13/2001,Environmental,https://doi.org/10.3133/sir20045251,Foothill yellow-legged frog,Rana boylii,1,40.4,38.7,72.7,72.7,0.19,Adult,Female
BR-60,SF GREENHORN C .8 MI AB GREENHORN C NR NEVADA CITY,3.91405E+14,9/13/2001,Environmental,https://doi.org/10.3133/sir20045251,Foothill yellow-legged frog,Rana boylii,1,15.2,14,51,76.3,0.11,Adult,Female
AR-02,CANYON C AB GOLD RUN TUNNEL OUTLET NR GOLD RUN CA,3.90945E+14,6/27/2002,Environmental,NP,Foothill yellow-legged frog,Rana boylii,1,ND,5.8,39.1,83.9,0.044,Juvenile,ND
AR-02,CANYON C AB GOLD RUN TUNNEL OUTLET NR GOLD RUN CA,3.90945E+14,6/27/2002,Environmental,NP,Foothill yellow-legged frog,Rana boylii,1,ND,3.9,34,81.2,0.051,Juvenile,Male
AR-03,GOLD RUN TUNNEL OUTLET NR COLFAX CA,3.90945E+14,6/27/2002,Environmental,NP,Foothill yellow-legged frog,Rana boylii,1,ND,4,36.6,79.7,0.057,Juvenile,ND
AR-03,GOLD RUN TUNNEL OUTLET NR COLFAX CA,3.90945E+14,6/27/2002,Environmental,NP,Foothill yellow-legged frog,Rana boylii,1,ND,3.4,34.7,76.6,0.069,Juvenile,ND
AR-03,GOLD RUN TUNNEL OUTLET NR COLFAX CA,3.90945E+14,6/27/2002,Environmental,NP,Sierra chorus frog,Pseudacris sierra,1,ND,4.9,41.1,72.2,0.071,Adult,Female
AR-03,GOLD RUN TUNNEL OUTLET NR COLFAX CA,3.90945E+14,6/27/2002,Environmental,NP,Sierra chorus frog,Pseudacris sierra,1,ND,3.4,37.7,73.4,0.103,Adult,Female
BR-10,BOSTON MINE TUNNEL OUTLET NR GRASS VALLEY CA,3.91346E+14,7/22/2002,Environmental,NP,Sierra chorus frog,Pseudacris sierra,1,2.1,1.9,32.2,71.9,0.08,Juvenile,ND
BR-10,BOSTON MINE TUNNEL OUTLET NR GRASS VALLEY CA,3.91346E+14,8/31/1999,Environmental,https://doi.org/10.3133/sir20045251,Pacific treefrog,Hyla regilla,1,7.7,7.1,41.3,74.4,0.11,Adult,Female
BR-10,BOSTON MINE TUNNEL OUTLET NR GRASS VALLEY CA,3.91346E+14,8/31/1999,Environmental,https://doi.org/10.3133/sir20045251,Pacific treefrog,Hyla regilla,1,6,5.3,35.8,75.1,0.073,Adult,Female
