Station Map ID,USGS Station Name,USGS Station Number,Date,Sample Type,Common name ,Genus and Species,Sample Size,Body Part,Total Length (mm),Total Length Standard Deviation,Total Weight (g) ,Total weight Standard Deviation,"Total Mercury, Dry (mg/kg)","Total Mercury, Wet (mg/kg)",Moisture (percent),Gender
BR-01,BEAR R A HWY 20 NR EMIGRANT GAP CA,3.91823E+14,8/26/1999,Environmental,Brown trout,Salmo trutta,1,Fillet,295,0,274.79,0,0.429,0.095,77.8,Female
BR-01,BEAR R A HWY 20 NR EMIGRANT GAP CA,3.91823E+14,8/26/1999,Environmental,Brown trout,Salmo trutta,1,Fillet,265,0,180.36,0,0.344,0.082,76.3,Male
BR-01,BEAR R A HWY 20 NR EMIGRANT GAP CA,3.91823E+14,8/26/1999,Environmental,Brown trout,Salmo trutta,1,Fillet,230,0,118.13,0,0.316,0.063,80.2,Female
BR-01,BEAR R A HWY 20 NR EMIGRANT GAP CA,3.91823E+14,8/26/1999,Environmental,Brown trout,Salmo trutta,1,Fillet,255,0,176.97,0,0.204,0.05,75.4,Female
BR-80,NF STEEPHOLLOW C NR BLUE CYN CA,3.91642E+14,8/26/1999,Environmental,Rainbow trout,Oncorhynchus mykiss,1,Fillet,280,0,197,0,0.885,0.191,78.4,Female
BR-80,NF STEEPHOLLOW C NR BLUE CYN CA,3.91642E+14,8/26/1999,Environmental,Rainbow trout,Oncorhynchus mykiss,1,Fillet,220,0,105,0,0.613,0.142,76.9,Male
LY-12,LARGE POND E OF BIG SEEP IN YUBA GOLDFIELDS,3.91304E+14,7/18/2003,Environmental,Bluegill,Lepomis macrochirus,1,Fillet,141,0,57.8,0,0.815,0.178,78.2,Male
LY-12,LARGE POND E OF BIG SEEP IN YUBA GOLDFIELDS,3.91304E+14,7/18/2003,Environmental,California roach,Hesperoleucus symmetricus,2,Whole body,98.9,7.1,9.89,1.86,0.617,0.151,75.5,0
LY-12,LARGE POND E OF BIG SEEP IN YUBA GOLDFIELDS,3.91304E+14,7/18/2003,Environmental,California roach,Hesperoleucus symmetricus,3,Whole body,81.3,4,5.63,0.34,0.468,0.116,75.3,0
LY-12,LARGE POND E OF BIG SEEP IN YUBA GOLDFIELDS,3.91304E+14,7/18/2003,Environmental,California roach,Hesperoleucus symmetricus,3,Whole body,73.6,3.2,4.15,0.19,0.606,0.155,74.4,0
