Station Map ID,USGS Station Name,USGS Station Number,Date,Time,Sample Type,Water Temperature (degrees Celsius),pH,Specific conductance (microsiemens/cm,Dissolved oxygen (mg/L),"Discharge, instantaneous, cubic feet per second",Barometric pressure (millimeters of mercury),"Dissolved oxygen, water, unfiltered, percent of saturation",Suspended sediment concentration (mg/L),"Suspended sediment, percentage finer than 0.063 mm"
AR-03,GOLD RUN TUNNEL OUTLET  NR COLFAX CA,3.90945E+14,2/21/2001,10:30,Environmental,ND,ND,ND,ND,ND,ND,ND,ND,58
AR-03,GOLD RUN TUNNEL OUTLET  NR COLFAX CA,3.90945E+14,11/6/2002,13:00,Environmental,7,6.1,940,9.8,ND,693,89,3,97
AR-05,GOLD RUN MINE POND NR INDIANA RAVINE NR GOLD RUN,3.90932E+14,2/21/2001,12:30,Environmental,ND,ND,ND,ND,ND,ND,ND,6,ND
AR-06,KEYSTONE MINE TUNNEL OUTLET NR FORRESTHILLS CA,3.90305E+14,11/6/2002,17:00,Environmental,11.9,6.9,160,8.6,1.5,688,88,4,70
AR-07,GLEESON DIGGINS MAIN SLUICE CUT NR IOWA HILL CA,3.90455E+14,2/7/2002,15:00,Environmental,7.6,4.2,384,2.5,ND,ND,ND,7,64
AR-09,JUPITER MINE TUNNEL MIDWAY A SLUICE CUT,3.90629E+14,2/7/2002,13:00,Environmental,7.1,6.1,210,7.2,ND,ND,ND,2,50
AR-10,AMERICAN R A FAIR OAKS CA,11446500,6/23/2003,11:30,Environmental,15,7.3,53,9.7,ND,757,97,ND,ND
AR-11,ALDER C POND A HWY 50 A NIMBUS CA,3.83809E+14,6/18/2003,16:40,Environmental,19,7.1,251,1.9,ND,ND,ND,ND,ND
AR-11,ALDER C POND A HWY 50 A NIMBUS CA,3.83809E+14,6/18/2003,17:50,Environmental,24.5,9.2,223,14.5,ND,ND,ND,ND,ND
AR-12,ALDER C A PRAIRIE CITY RD NR FOLSOM CA,3.83824E+14,6/19/2003,14:20,Environmental,24.5,7.7,388,7.5,1.1,754,91,ND,ND
AR-13,ALDER C A FOLSOM BLVD NR NIMBUS CA,3.83816E+14,6/19/2003,9:40,Environmental,20,7.5,329,6.6,1.2,751,74,ND,ND
AR-14,UNNAMED TRIB TO ALDER C NR FOLSOM CA,3.83834E+14,6/20/2003,12:10,Environmental,22,7.6,399,7,1,754,81,ND,ND
AR-15,WILLOW C .1 MI US LK NATOMA NR FOLSOM CA,3.83859E+14,6/19/2003,11:50,Environmental,21.1,7.7,260,9.1,7.2,753,104,ND,ND
AR-16,WILLOW C A E BIDWELL ST NR FOLSOM CA,3.84006E+14,6/20/2003,10:10,Environmental,19,7.8,306,8.3,1.5,749,91,ND,ND
AR-17,WILLOW C A GOLF LINKS DRIVE NR FOLSOM CA,3.8403E+14,6/20/2003,15:10,Environmental,22.5,7.6,303,7.9,0.75,750,93,ND,ND
AR-18,WILLOW C A LK NATOMA NR FOLSOM CA,3.83859E+14,6/18/2003,12:30,Environmental,15.5,9.7,59,14.8,ND,755,150,ND,ND
AR-18,WILLOW C A LK NATOMA NR FOLSOM CA,3.83859E+14,6/18/2003,13:10,Environmental,18.5,7.7,107,10.5,ND,755,113,ND,ND
AR-19,WILLOW C A SIBLEY RD NR FOLSOM CA,3.83927E+14,6/19/2003,16:00,Environmental,23,8.2,267,9.2,6.7,754,109,ND,ND
AR-20,HUMBUG C A E BIDWELL ST NR FOLSOM CA,3.8401E+14,6/20/2003,8:50,Environmental,19.5,7.6,262,6.3,3.4,752,70,ND,ND
BR-03,BEAR R BL DUTCH FLAT AFTERBAY NR DUTCH FLAT CA,11421790,9/30/1999,13:00,Environmental,16.3,7.2,59,ND,ND,ND,ND,80,100
BR-03,BEAR R BL DUTCH FLAT AFTERBAY NR DUTCH FLAT CA,11421790,10/1/1999,17:50,Environmental,16.2,7,56,ND,ND,ND,ND,19,100
BR-04,BEAR R AB GRVL PLNT AB STEEPHOLLOW C CHICAGO PARK,3.91038E+14,1/26/2000,11:50,Environmental,9,6.9,70,ND,ND,ND,ND,1,58
BR-06,BEAR R BL WOLF C NR LUCAS HILL CA,3.90107E+14,8/17/2000,12:30,Environmental,24,ND,ND,ND,ND,ND,ND,4,ND
BR-06,BEAR R BL WOLF C NR LUCAS HILL CA,3.90107E+14,10/14/2003,12:50,Environmental,ND,ND,ND,ND,ND,ND,ND,3,79
BR-06,BEAR R BL WOLF C NR LUCAS HILL CA,3.90107E+14,10/15/2003,10:15,Environmental,ND,ND,ND,ND,ND,ND,ND,4,89
BR-07,BEAR R NR WHEATLAND CA,11424000,6/23/1999,11:00,Environmental,25.4,7.7,85,11.4,35,757,140,ND,ND
BR-08,BEAR R A PLEASANT GROVE RD NR SHERIDAN CA,3.85904E+14,3/19/2003,11:30,Environmental,12,7.5,78,ND,ND,765,ND,ND,ND
BR-10,BOSTON MINE TUNNEL OUTLET NR GRASS VALLEY CA,3.91346E+14,12/21/2001,12:10,Environmental,ND,ND,ND,ND,ND,ND,ND,8,79
BR-10,BOSTON MINE TUNNEL OUTLET NR GRASS VALLEY CA,3.91346E+14,2/21/2002,15:10,Environmental,10,6.9,54,10.6,ND,ND,ND,31,80
BR-10,BOSTON MINE TUNNEL OUTLET NR GRASS VALLEY CA,3.91346E+14,12/4/2002,11:10,Environmental,ND,7.7,200,ND,ND,ND,ND,1,40
BR-13,BOSTON MINE LOWER POND SITE 3 NR GRASS VALLEY CA,3.91343E+14,8/27/2002,16:00,Environmental,22.5,8,77,0.9,9,714,11,ND,ND
BR-16,BOSTON MINE WETLANDS POND NR GRASS VALLEY CA,3.91343E+14,12/14/1999,10:30,Environmental,ND,ND,ND,ND,ND,ND,ND,2,62
BR-16,BOSTON MINE WETLANDS POND NR GRASS VALLEY CA,3.91343E+14,5/24/2000,16:30,Environmental,ND,ND,ND,ND,ND,ND,ND,3,ND
BR-18,BOSTON MINE TUNNEL INFLOW A BULKHEAD NR GOLD RUN,3.91346E+14,12/4/2002,13:30,Environmental,ND,ND,ND,ND,ND,ND,ND,5,68
BR-20,BUCKEYE FLAT MINE N DR TO GREENHORN C GRASS VALLEY,3.91446E+14,2/21/2002,15:30,Environmental,10.8,4.8,98,11.8,ND,ND,ND,ND,ND
BR-25,BUCKEYE FLAT MINE UPPER DRAIN TO GREENHORN C,3.91453E+14,4/9/2001,10:00,Environmental,8,5.1,97,ND,ND,ND,ND,ND,ND
BR-25,BUCKEYE FLAT MINE UPPER DRAIN TO GREENHORN C,3.91453E+14,10/18/2001,11:30,Environmental,12,5.1,122,2.9,ND,ND,ND,ND,ND
BR-28,BUCKEYE FLAT MINE DRAIN .06 MI AB GREENHORN C,3.91416E+14,2/21/2002,15:00,Environmental,10.9,6.6,68,12.6,ND,ND,ND,ND,ND
BR-30,GREENHORN C NR HEADWATERS NR SCOTTS FLAT RES,3.91657E+14,2/21/2002,19:40,Environmental,6.7,6.8,20,12.1,3.8,ND,ND,ND,ND
BR-35,GREENHORN C BL GAS CYN NR GRASS VALLEY CA,3.91434E+14,2/21/2002,16:30,Environmental,8.3,6.6,31,13,ND,ND,ND,ND,ND
BR-39,GREENHORN C .2 MI BL THE NARROWS,3.91329E+14,2/21/2002,15:00,Environmental,9.8,ND,ND,11.5,ND,ND,ND,ND,ND
BR-40,GREENHORN C A YOU BET RD BRDG NR NEVADA CITY CA,3.91116E+14,1/22/2002,11:10,Environmental,4.5,7.4,55,12.9,48,705,108,19,52
BR-40,GREENHORN C A YOU BET RD BRDG NR NEVADA CITY CA,3.91116E+14,2/6/2002,11:00,Environmental,4.5,7.3,62,12.7,49,709,106,4,88
BR-40,GREENHORN C A YOU BET RD BRDG NR NEVADA CITY CA,3.91116E+14,2/21/2002,11:00,Environmental,9,6.9,44,10.9,388,714,101,"1,843",28
BR-40,GREENHORN C A YOU BET RD BRDG NR NEVADA CITY CA,3.91116E+14,3/12/2002,13:20,Environmental,9.5,6.8,22,ND,207,703,ND,506,41
BR-40,GREENHORN C A YOU BET RD BRDG NR NEVADA CITY CA,3.91116E+14,4/9/2002,14:00,Environmental,11.5,7.1,49,10.2,64,ND,ND,8,87
BR-40,GREENHORN C A YOU BET RD BRDG NR NEVADA CITY CA,3.91116E+14,5/6/2002,13:20,Environmental,17.5,7.6,57,7.2,39,702,82,10,88
BR-40,GREENHORN C A YOU BET RD BRDG NR NEVADA CITY CA,3.91116E+14,6/17/2002,11:40,Environmental,19.5,6.5,57,9.3,12,707,109,7,79
BR-40,GREENHORN C A YOU BET RD BRDG NR NEVADA CITY CA,3.91116E+14,7/8/2002,13:00,Environmental,24.5,7.2,62,8.3,7.2,718,106,8,83
BR-40,GREENHORN C A YOU BET RD BRDG NR NEVADA CITY CA,3.91116E+14,8/20/2002,13:20,Environmental,22,7.1,63,8.1,2.5,705,100,1,67
BR-40,GREENHORN C A YOU BET RD BRDG NR NEVADA CITY CA,3.91116E+14,9/9/2002,10:00,Environmental,12,6.8,62,8.5,1.8,708,85,1,75
BR-40,GREENHORN C A YOU BET RD BRDG NR NEVADA CITY CA,3.91116E+14,10/17/2002,10:10,Environmental,8.5,5.3,69,13.3,2,695,125,<1,50
BR-40,GREENHORN C A YOU BET RD BRDG NR NEVADA CITY CA,3.91116E+14,11/12/2002,11:00,Environmental,10.5,6.7,78,8.1,17,709,78,64,54
BR-40,GREENHORN C A YOU BET RD BRDG NR NEVADA CITY CA,3.91116E+14,12/18/2002,14:40,Environmental,8.5,7.1,52,9.8,114,703,91,31,100
BR-40,GREENHORN C A YOU BET RD BRDG NR NEVADA CITY CA,3.91116E+14,1/13/2003,13:20,Environmental,ND,ND,ND,ND,209,ND,ND,413,28
BR-40,GREENHORN C A YOU BET RD BRDG NR NEVADA CITY CA,3.91116E+14,2/5/2003,13:20,Environmental,7.5,7.2,59,11.1,44,702,101,6,ND
BR-40,GREENHORN C A YOU BET RD BRDG NR NEVADA CITY CA,3.91116E+14,3/14/2003,14:00,Environmental,12.5,7,55,9.9,108,ND,ND,156,83
BR-40,GREENHORN C A YOU BET RD BRDG NR NEVADA CITY CA,3.91116E+14,3/15/2003,9:30,Environmental,9.5,6,32,10.5,726,696,101,"3,279",49
BR-40,GREENHORN C A YOU BET RD BRDG NR NEVADA CITY CA,3.91116E+14,4/28/2003,13:50,Environmental,10.5,6.8,44,9.7,269,704,94,"1,273",27
